Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year,Conf Record,Away,Home,SOS
93,Loyola Chicago,A10,30,22–8,104.7,96.4,0.7227,52.5,46.5,18.7,17.6,26.2,24.8,33.5,35.6,51.9,43.4,35.5,34.6,40.9,36.3,69.8,-0.9,2024,15–3,,Loyola Chicago,0.5503755291913103
94,Duquesne,A10,30,19–11,106.6,98.4,0.7145,49.9,48.4,17.6,19.6,29.7,30.9,34.0,34.8,50.0,48.4,33.2,32.3,39.7,36.1,67.5,-3.4,2024,10–8,Duquesne,R,0.6023853930953365
95,Boston College,ACC,31,17–14,111.5,103.0,0.7124,52.9,51.2,15.6,16.5,26.5,26.2,26.6,29.0,51.8,49.9,36.4,35.6,37.6,37.7,68.6,-3.7,2024,8–12,,Boston College,0.676902894810148
96,Saint Joseph's,A10,31,19–12,110.8,102.4,0.7122,53.2,49.1,16.0,17.9,29.5,29.6,30.2,30.0,52.6,47.7,35.9,34.0,47.6,43.5,69.7,-4.7,2024,9–9,,Saint Joseph's,0.5534933769028244
97,St. Bonaventure,A10,30,18–12,111.4,103.0,0.7109,53.1,51.3,16.1,19.5,29.1,27.9,31.6,34.5,51.4,52.6,37.3,33.0,37.1,41.5,66.8,-4.9,2024,9–9,,St. Bonaventure,0.5539245475982225
98,Rutgers,B10,31,15–16,98.9,91.5,0.7085,43.7,47.1,16.6,21.5,30.6,31.4,33.2,34.2,43.9,45.9,28.9,32.7,31.6,39.4,68.7,-3.2,2024,7–13,,Rutgers,0.7015844508919117
99,Stanford,P12,30,13–17,110.5,102.4,0.7062,54.7,51.9,18.0,15.5,22.7,27.2,27.8,25.8,53.5,50.9,37.7,35.6,41.4,37.2,70.6,-6.9,2024,8–12,,Stanford,0.668154396313239
100,UCLA,P12,30,14–16,106.0,98.4,0.7024,46.1,50.1,16.3,18.2,29.8,28.1,35.5,36.6,44.8,49.3,32.9,34.2,29.6,42.6,64.3,-4.9,2024,10–10,,UCLA,0.6548631614853405
101,Appalachian St.,SB,31,25–6,106.0,98.4,0.7013,52.7,45.1,15.3,14.6,29.7,27.8,32.3,19.8,53.8,43.7,33.6,32.1,31.1,32.7,67.7,-1.2,2024,16–2,,Appalachian St.,0.4223928809045011
102,South Florida,Amer,29,23–6,108.0,100.7,0.6914,51.3,47.4,15.6,18.8,28.2,30.1,38.3,34.3,49.4,48.0,36.0,30.9,41.4,37.8,68.8,-0.24,2024,16–2,,South Florida,0.5287475972744328
103,Charlotte,Amer,29,18–11,109.1,101.8,0.6889,51.3,48.8,15.5,15.4,26.0,28.9,35.4,31.0,53.2,49.8,32.0,31.4,37.6,36.5,63.5,-4.2,2024,13–5,,Charlotte,0.5381031077098704
104,Charleston,CAA,32,25–7,112.9,105.4,0.6882,52.4,50.4,14.4,16.6,33.7,26.9,26.9,28.6,52.9,50.7,34.5,33.4,47.1,36.4,71.2,-1.9,2024,15–3,Charleston,R,0.4480451322068004
105,Arkansas,SEC,31,15–16,109.2,101.9,0.6874,50.3,50.0,16.3,15.1,25.4,29.9,46.2,39.4,51.6,49.4,31.9,34.1,33.0,34.8,71.6,-4.5,2024,6–12,,Arkansas,0.6816477862162357
106,Michigan,B10,31,8–23,111.9,104.8,0.6806,51.6,52.6,18.4,13.7,30.4,30.7,32.1,29.7,49.8,52.0,36.3,35.9,38.2,32.6,68.5,-8.9,2024,3–17,,Michigan,0.7683636193512924
107,Northern Iowa,MVC,32,18–14,109.2,102.4,0.6761,51.6,52.2,15.2,16.5,23.9,22.5,37.4,30.5,51.9,52.0,34.1,35.0,36.8,41.1,67.5,-5.1,2024,12–8,,Northern Iowa,0.579560033032644
108,Oklahoma St.,B12,31,12–19,108.0,101.5,0.6721,51.6,51.5,18.8,17.0,27.6,28.3,34.5,27.2,52.5,52.0,33.5,33.6,43.1,33.1,68.1,-7.5,2024,4–14,,Oklahoma St.,0.6624942034276058
109,Cornell,Ivy,26,20–6,112.7,105.9,0.6714,57.1,51.3,17.5,18.6,27.6,31.3,29.2,32.6,62.6,52.3,34.1,33.2,48.4,42.2,72.6,-1.0,2024,11–3,,Cornell,0.4565833105532553
110,Western Carolina,SC,29,19–10,107.9,101.9,0.6599,51.7,47.2,14.7,13.3,29.1,24.2,27.7,32.4,49.8,45.5,36.8,33.9,35.5,31.8,67.8,-5.4,2024,11–7,,Western Carolina,0.4046204899300351
111,Southern Illinois,MVC,31,18–13,108.9,102.9,0.6585,52.5,50.1,16.8,16.2,26.1,25.6,35.9,36.5,53.4,52.1,34.3,30.4,43.8,30.5,65.2,-6.4,2024,11–9,,Southern Illinois,0.5053691553804718
112,Hofstra,CAA,32,19–13,108.0,102.2,0.654,55.4,49.0,15.7,17.7,22.9,29.7,22.3,29.0,55.5,46.9,36.8,34.6,46.1,42.4,66.6,-6.5,2024,12–6,,Hofstra,0.4729398265412385
113,Belmont,MVC,32,19–13,108.8,103.0,0.6531,55.0,51.1,16.7,16.4,21.0,27.5,30.3,27.0,54.5,52.2,37.2,33.0,41.9,39.8,72.1,-5.3,2024,12–8,,Belmont,0.5284540903848359
114,Vermont,AE,30,24–6,105.8,100.2,0.6521,52.3,47.1,13.9,14.6,22.3,22.8,29.6,24.9,53.6,46.3,33.8,32.3,44.1,36.5,64.3,-1.5,2024,15–1,Vermont,R,0.4033211156179638
115,Georgia Tech,ACC,31,14–17,108.1,102.6,0.6455,48.5,48.8,18.0,12.5,31.8,28.4,28.9,31.4,48.2,49.3,32.7,32.0,40.3,39.3,68.4,-4.7,2024,7–13,,Georgia Tech,0.7165715199009215
116,Arizona St.,P12,31,14–17,103.5,98.4,0.642,47.8,51.1,14.8,19.2,21.6,30.0,33.5,31.0,49.2,51.7,30.5,33.5,38.1,38.9,69.9,-5.4,2024,8–12,,Arizona St.,0.7231231406374876
117,Davidson,A10,29,13–16,105.5,100.5,0.6378,48.9,49.8,15.8,17.1,26.3,26.9,33.2,32.7,50.7,49.9,30.7,33.1,40.2,42.3,66.6,-8.0,2024,5–13,,Davidson,0.5566016439238495
118,California,P12,31,13–18,108.5,103.4,0.6338,49.2,51.4,16.2,14.7,28.7,26.1,29.8,32.4,48.3,49.8,33.5,36.2,41.7,36.3,69.5,-6.9,2024,9–11,,California,0.6875506113998391
119,Santa Clara,WCC,32,19–13,108.4,103.6,0.629,52.3,48.4,18.2,14.4,34.1,26.1,31.6,33.3,52.6,48.9,34.5,31.7,38.5,37.0,70.0,-4.0,2024,10–6,,Santa Clara,0.5344627249292976
120,UNC Wilmington,CAA,28,18–10,112.7,107.7,0.6267,51.1,51.7,12.8,17.1,29.9,30.6,32.9,33.1,52.1,50.8,33.0,35.5,39.7,36.7,66.1,-4.8,2024,12–6,,UNC Wilmington,0.4281274532759984
121,High Point,BSth,31,23–8,114.6,110.0,0.6161,52.3,50.2,16.2,14.1,37.1,25.5,44.4,38.2,53.6,49.6,33.7,34.4,39.9,31.3,69.5,-4.3,2024,13–3,,High Point,0.3757538599761523
122,Troy,SB,29,17–12,106.4,102.3,0.6105,50.1,49.8,19.6,20.8,34.8,30.7,41.3,39.8,48.2,47.7,35.3,35.9,40.0,33.7,70.6,-7.5,2024,13–5,,Troy,0.3957509076827318
123,UC San Diego,BW,30,19–11,110.5,106.3,0.6079,52.1,50.3,14.3,17.0,27.5,27.9,32.5,29.4,52.3,50.2,34.5,33.7,41.9,35.1,66.3,-6.3,2024,15–5,,UC San Diego,0.3912087440815595
124,Akron,MAC,29,19–10,106.9,102.9,0.6072,52.5,49.3,16.9,17.0,29.7,26.4,34.3,30.1,54.9,51.1,32.7,30.8,41.5,36.9,66.3,-5.0,2024,13–5,Akron,R,0.4258643978871052
125,Drexel,CAA,31,19–12,106.8,102.8,0.6071,50.6,47.8,16.5,13.1,33.6,24.5,30.0,26.7,50.3,48.2,34.1,31.4,33.2,35.4,65.4,-6.7,2024,13–5,,Drexel,0.4330367724250627
126,UAB,Amer,30,19–11,111.1,107.1,0.6041,49.8,51.5,17.3,16.2,35.4,30.8,40.5,31.7,50.2,50.5,32.6,35.4,31.5,36.1,68.8,-3.5,2024,12–6,UAB,R,0.5856278557105475
127,Seattle,WAC,30,17–13,102.9,99.3,0.6022,50.3,46.3,18.7,17.5,29.4,25.8,34.7,37.2,50.0,47.2,33.8,29.7,38.2,33.7,67.8,-7.7,2024,11–9,,Seattle,0.4515286272087648
128,Missouri,SEC,31,8–23,108.4,104.6,0.6007,50.5,51.4,16.8,18.8,26.4,36.2,32.2,43.0,51.9,51.5,32.3,34.1,39.9,39.4,67.8,-10.8,2024,0–18,,Missouri,0.6813478169242401
129,Notre Dame,ACC,31,12–19,100.5,97.1,0.5969,47.4,47.9,19.1,15.4,28.1,26.4,26.8,26.9,47.7,47.3,31.3,32.6,43.2,36.7,65.3,-7.4,2024,7–13,,Notre Dame,0.6834006696152928
130,Liberty,CUSA,28,15–13,109.2,105.8,0.5917,54.3,50.9,15.9,16.8,24.6,25.4,26.9,29.8,55.4,51.8,35.4,32.7,47.0,33.1,65.5,-7.4,2024,7–9,,Liberty,0.4485551118500998
131,Morehead St.,OVC,30,22–8,106.7,103.4,0.5876,54.4,45.7,18.5,15.5,32.0,26.4,31.3,32.7,55.6,45.4,35.3,31.1,45.1,31.2,65.3,-3.5,2024,14–4,Morehead St.,R,0.3242837401752699
132,Oakland,Horz,33,22–11,108.2,104.9,0.5871,52.2,50.7,16.4,16.5,30.5,28.6,30.5,26.8,51.9,50.3,35.0,34.2,41.0,41.1,67.7,-4.3,2024,15–5,Oakland,R,0.4704505694295955
133,UT Arlington,WAC,29,16–13,105.5,102.4,0.5851,50.6,48.8,21.5,19.1,32.4,29.4,39.6,40.6,49.8,47.2,34.5,34.5,41.8,35.5,71.8,-6.0,2024,13–7,,UT Arlington,0.483248270586398
134,Wichita St.,Amer,30,12–18,103.9,101.0,0.5787,49.6,48.4,18.1,15.2,31.3,28.3,27.3,28.4,49.8,48.3,32.6,32.4,31.3,38.1,69.6,-11.0,2024,5–13,,Wichita St.,0.5617961480165949
135,Youngstown St.,Horz,28,18–10,107.2,104.3,0.5781,50.4,49.0,15.5,16.5,33.9,28.7,29.3,30.7,52.2,47.9,31.9,34.0,42.2,35.7,69.8,-6.0,2024,14–6,,Youngstown St.,0.3379590703856016
136,West Virginia,B12,31,9–22,106.6,103.7,0.5776,49.1,51.9,18.4,15.1,26.8,30.2,37.3,27.9,47.4,52.0,34.6,34.6,37.3,42.5,69.3,-9.6,2024,4–14,,West Virginia,0.7385705755730232
137,UNC Greensboro,SC,30,19–11,108.7,106.1,0.5706,53.2,49.5,16.3,17.7,29.3,30.5,27.3,35.8,49.2,48.0,38.9,34.3,44.0,44.2,65.7,-5.6,2024,12–6,,UNC Greensboro,0.4310776735646444
138,Tulane,Amer,29,13–16,109.8,107.2,0.5671,54.2,51.1,14.9,17.5,20.1,32.7,46.0,32.7,54.9,50.6,35.2,34.5,35.8,42.1,73.7,-9.0,2024,5–13,,Tulane,0.5574863522202712
139,Arkansas St.,SB,34,18–16,112.2,109.7,0.5649,51.7,50.4,16.2,14.1,33.9,28.7,32.7,35.7,51.3,49.4,34.9,35.4,43.5,27.1,69.0,-9.0,2024,11–7,,Arkansas St.,0.4818521308886306
140,St. Thomas,Sum,30,17–13,106.9,104.6,0.5626,54.4,52.0,14.8,18.5,24.0,25.5,29.4,29.0,55.0,52.8,35.7,33.8,46.0,39.6,63.9,-9.2,2024,9–7,,St. Thomas,0.3241233391535482
141,Missouri St.,MVC,33,17–16,103.8,101.6,0.5625,49.7,48.0,17.3,13.1,29.1,24.7,31.5,24.9,51.2,47.0,31.4,33.0,36.8,38.8,68.8,-8.0,2024,8–12,,Missouri St.,0.5454613539330572
142,Louisiana,SB,31,17–14,105.5,103.3,0.5623,50.7,49.9,16.8,20.6,30.8,32.9,28.6,40.1,51.7,53.7,32.6,27.9,36.2,32.1,69.5,-8.7,2024,10–8,,Louisiana,0.4314969570180117
143,Toledo,MAC,31,20–11,112.2,109.9,0.5615,53.6,54.6,15.1,18.5,29.0,28.2,35.3,26.3,52.2,56.2,38.0,34.6,28.5,37.1,70.4,-5.6,2024,14–4,,Toledo,0.4563901018254248
144,South Dakota St.,Sum,30,18–12,107.9,105.7,0.5585,55.3,50.9,16.6,16.8,24.7,25.6,30.1,27.9,56.1,49.1,36.1,35.4,40.2,46.9,68.9,-7.7,2024,12–4,South Dakota St.,R,0.3978894701868264
145,Wright St.,Horz,30,16–14,116.1,113.9,0.5545,58.5,55.3,16.5,16.3,28.9,28.1,33.6,30.0,58.8,55.0,38.4,37.1,29.3,37.7,72.4,-9.4,2024,13–7,,Wright St.,0.3977032888183884
146,Oregon St.,P12,30,12–18,105.8,103.8,0.5538,49.7,51.0,18.2,16.7,26.0,31.1,36.5,35.9,49.7,52.4,33.2,32.6,34.0,38.1,66.2,-7.1,2024,5–15,,Oregon St.,0.6769668604315592
147,Sam Houston St.,CUSA,29,18–11,104.8,102.9,0.5528,48.7,50.1,18.7,18.9,31.4,27.0,34.2,35.9,46.2,51.1,35.5,32.4,35.5,39.6,68.9,-5.1,2024,13–3,,Sam Houston St.,0.4509981065907566
148,Towson,CAA,33,19–14,102.5,100.7,0.5499,47.3,48.3,19.2,16.9,39.8,27.2,34.7,31.7,46.4,47.4,32.8,33.3,34.1,36.9,63.1,-7.4,2024,11–7,,Towson,0.4606000693109185
149,Western Kentucky,CUSA,27,16–11,103.7,102.1,0.5452,51.7,48.7,18.5,18.3,28.8,27.0,32.3,33.6,52.0,48.9,34.0,32.3,30.8,40.3,76.1,-6.9,2024,8–8,Western Kentucky,R,0.4057965408050027
150,Murray St.,MVC,31,11–20,107.4,105.8,0.5446,50.0,54.5,14.4,17.9,26.5,25.5,29.6,27.7,51.3,53.8,31.6,37.0,35.3,42.8,65.4,-12.4,2024,9–11,,Murray St.,0.545975476160777
151,Delaware,CAA,32,18–14,105.1,103.8,0.5367,51.9,48.7,16.0,15.1,27.5,27.9,30.9,27.1,53.2,49.7,33.0,31.3,35.7,36.4,68.3,-9.2,2024,10–8,,Delaware,0.4126419687400096
152,Tarleton St.,WAC,28,20–8,106.1,104.9,0.5347,49.5,50.0,17.0,20.2,30.4,33.8,30.3,36.1,49.4,49.9,33.1,33.4,29.5,36.2,67.4,-2.2,2024,16–4,,Tarleton St.,0.4335538171181182
153,Furman,SC,30,15–15,108.6,107.4,0.5328,52.1,52.9,15.9,16.2,29.4,26.6,31.0,28.5,54.3,53.9,33.2,34.1,48.2,35.0,69.8,-9.3,2024,10–8,,Furman,0.4463030184269088
154,Montana,BSky,29,19–10,110.6,109.6,0.5249,54.5,51.1,14.3,14.5,25.3,25.6,29.0,35.5,54.9,50.1,35.8,35.6,37.7,31.0,67.2,-5.2,2024,12–6,,Montana,0.3693667688668034
155,Weber St.,BSky,29,17–12,107.6,106.7,0.5237,53.1,54.4,14.8,18.4,23.8,23.7,35.2,29.3,53.9,55.2,34.5,35.4,38.7,36.7,66.4,-7.4,2024,11–7,,Weber St.,0.376943916843947
156,Chattanooga,SC,31,19–12,109.1,108.3,0.5219,54.8,49.9,17.1,14.5,27.2,28.8,30.9,27.3,56.1,47.9,35.7,35.1,50.5,42.0,67.7,-6.9,2024,12–6,,Chattanooga,0.39941078504696
157,Ohio,MAC,30,18–12,108.6,107.8,0.5211,52.8,49.6,14.4,19.0,28.0,32.1,32.8,34.8,52.3,49.0,35.7,33.9,41.6,36.8,68.0,-8.5,2024,13–5,,Ohio,0.3705378880242313
158,Wyoming,MWC,29,13–16,107.5,106.7,0.5197,50.9,52.7,18.6,15.5,28.6,29.2,37.7,27.3,49.4,53.4,35.6,34.4,36.7,40.2,68.0,-6.7,2024,8–10,,Wyoming,0.5772014664645764
159,Winthrop,BSth,29,14–15,106.4,105.8,0.5142,51.9,49.5,18.7,18.2,30.4,32.9,50.0,34.3,52.8,50.6,33.7,32.0,39.4,41.1,67.8,-9.5,2024,8–8,,Winthrop,0.3998716466212519
160,Eastern Washington,BSky,30,19–11,110.3,109.9,0.5101,57.2,52.8,19.0,16.3,26.4,27.1,39.6,33.5,58.7,51.0,36.8,36.9,42.0,41.8,71.4,-4.9,2024,15–3,,Eastern Washington,0.4152776285463019
161,East Carolina,Amer,30,13–17,104.6,104.4,0.5063,47.6,50.8,16.2,19.1,32.5,31.8,33.1,32.2,48.1,52.5,31.0,32.3,36.7,42.6,65.8,-10.4,2024,7–11,,East Carolina,0.519483104603774
162,Stephen F. Austin,WAC,29,15–14,100.3,100.2,0.5033,49.3,48.7,22.3,22.9,34.4,30.0,42.0,47.9,49.5,45.4,32.6,36.4,31.9,36.0,70.5,-8.8,2024,10–10,,Stephen F. Austin,0.4454216245221298
163,UC Davis,BW,29,17–12,101.7,101.7,0.5008,50.5,49.3,19.6,21.3,28.6,30.9,39.4,38.7,50.9,49.6,33.3,32.4,37.7,33.4,68.2,-7.8,2024,14–6,,UC Davis,0.3869559235127949
164,UMass Lowell,AE,27,18–9,105.2,105.2,0.5001,50.8,47.4,18.3,15.6,32.1,27.3,39.6,26.7,51.8,49.0,32.3,29.4,29.4,33.3,70.8,-5.5,2024,11–5,,UMass Lowell,0.3423358652915116
165,Georgetown,BE,31,9–22,109.8,110.0,0.4944,48.6,55.7,17.9,16.5,33.5,30.7,33.9,33.6,46.3,57.5,34.6,35.2,40.9,37.6,67.8,-9.8,2024,2–18,,Georgetown,0.6651412899294508
166,Stony Brook,CAA,33,19–14,105.9,106.3,0.4889,50.2,49.9,15.3,15.3,26.9,29.3,29.6,27.5,48.8,48.5,35.1,34.5,36.3,42.2,68.5,-7.3,2024,10–8,,Stony Brook,0.4603064142094489
167,Bryant,AE,30,18–12,100.0,100.5,0.4861,50.7,45.4,15.8,16.8,20.5,30.2,30.1,33.8,51.4,44.9,33.1,30.8,37.8,35.4,75.2,-6.6,2024,11–5,,Bryant,0.4103250271035466
168,Longwood,BSth,31,18–13,103.6,104.2,0.484,49.4,51.3,18.0,19.6,36.7,25.5,39.5,36.1,48.6,50.9,34.2,34.6,28.3,39.5,67.8,-8.8,2024,6–10,Longwood,R,0.3660544071734614
169,Hawaii,BW,30,17–13,103.7,104.3,0.4816,52.7,48.5,18.5,15.7,26.1,24.9,38.3,34.4,54.4,49.1,33.6,31.3,42.6,25.3,67.1,-8.7,2024,11–9,,Hawaii,0.3892523997177969
170,UNC Asheville,BSth,31,19–12,106.3,107.0,0.4812,52.1,50.1,17.1,16.9,27.3,31.4,40.8,34.3,50.5,50.6,36.4,32.9,37.3,35.8,69.1,-6.8,2024,12–4,,UNC Asheville,0.4047391750776355
171,UTEP,CUSA,28,13–15,97.7,98.3,0.4805,48.2,51.8,21.0,26.3,28.8,31.2,42.5,46.5,48.9,53.6,31.1,32.3,31.4,34.4,70.8,-10.2,2024,7–9,,UTEP,0.4365841179357572
172,Loyola Marymount,WCC,30,11–19,107.8,108.6,0.4783,51.6,50.4,16.3,12.4,29.4,27.1,28.8,28.3,49.2,49.8,36.8,34.3,39.9,31.7,65.8,-11.8,2024,5–11,,Loyola Marymount,0.4910622928970267
173,Illinois Chicago,MVC,32,11–21,100.6,101.5,0.4749,50.6,48.9,17.7,17.4,22.9,28.4,26.0,35.9,48.4,49.2,36.0,32.2,40.8,35.0,69.1,-13.4,2024,4–16,,Illinois Chicago,0.5340084136856559
174,Purdue Fort Wayne,Horz,31,19–12,103.4,104.3,0.4742,53.8,51.5,14.5,22.0,22.8,30.0,31.0,32.6,53.4,52.8,36.3,32.8,42.8,36.5,71.6,-7.8,2024,11–9,,Purdue Fort Wayne,0.3465555940759349
175,Quinnipiac,MAAC,30,22–8,104.7,105.7,0.4727,50.7,49.2,17.0,17.5,30.9,27.9,30.6,30.0,50.1,47.9,34.6,34.3,34.9,36.7,72.6,-4.6,2024,15–5,,Quinnipiac,0.3161882067874408
176,Colgate,Pat,32,23–9,102.0,102.9,0.4724,53.2,47.4,16.3,16.3,24.7,24.6,27.5,24.8,52.7,48.7,36.1,30.4,38.4,39.5,67.3,-4.2,2024,16–2,Colgate,R,0.344992627053059
177,Utah Valley,WAC,29,14–15,98.5,99.6,0.4684,47.3,47.9,18.0,18.2,28.3,27.1,35.3,35.9,49.0,47.7,28.8,32.3,29.2,34.7,68.7,-8.7,2024,11–9,,Utah Valley,0.4798752415266333
178,Saint Louis,A10,30,11–19,110.8,112.3,0.4635,51.3,54.3,16.9,14.3,26.2,28.9,35.6,35.1,49.2,53.9,36.6,36.5,37.6,42.8,70.5,-10.5,2024,5–13,,Saint Louis,0.6062905247490763
179,Kent St.,MAC,29,13–16,105.8,107.2,0.4611,50.7,52.0,17.4,18.7,30.9,28.7,32.7,35.0,48.5,53.0,36.1,33.7,39.7,39.6,68.0,-11.1,2024,8–10,,Kent St.,0.4146978255689011
180,La Salle,A10,30,14–16,105.7,107.5,0.4525,49.3,51.0,14.4,15.6,27.0,30.7,25.0,32.6,47.9,50.0,34.3,35.4,40.2,32.6,68.0,-9.2,2024,6–12,,La Salle,0.5096400593546838
181,Texas A&M Corpus Chris,Slnd,27,17–10,100.1,101.9,0.4468,46.8,47.4,17.6,19.6,34.2,25.0,35.9,47.4,47.4,47.8,30.2,31.1,29.0,36.1,69.6,-5.6,2024,14–4,,Texas A&M Corpus Chris,0.2958774060795318
182,Rhode Island,A10,30,11–19,106.9,109.3,0.4373,51.5,52.6,18.6,13.0,29.3,28.2,39.2,29.8,51.0,51.7,35.1,35.9,33.3,39.5,69.7,-11.4,2024,6–12,,Rhode Island,0.5657923962404882
