Game,Bookmaker,Market,Team,Odds,Point
Morgan St Bears vs North Carolina Central Eagles,betonlineag,spreads,Morgan St Bears,1.91,2.5
Morgan St Bears vs North Carolina Central Eagles,betonlineag,spreads,North Carolina Central Eagles,1.91,-2.5
Morgan St Bears vs North Carolina Central Eagles,lowvig,spreads,Morgan St Bears,1.94,2.5
Morgan St Bears vs North Carolina Central Eagles,lowvig,spreads,North Carolina Central Eagles,1.94,-2.5
Morgan St Bears vs North Carolina Central Eagles,draftkings,spreads,Morgan St Bears,1.89,2.5
Morgan St Bears vs North Carolina Central Eagles,draftkings,spreads,North Carolina Central Eagles,1.93,-2.5
Morgan St Bears vs North Carolina Central Eagles,fanduel,spreads,Morgan St Bears,1.91,2.5
Morgan St Bears vs North Carolina Central Eagles,fanduel,spreads,North Carolina Central Eagles,1.91,-2.5
Morgan St Bears vs North Carolina Central Eagles,betmgm,spreads,Morgan St Bears,1.91,2.5
Morgan St Bears vs North Carolina Central Eagles,betmgm,spreads,North Carolina Central Eagles,1.91,-2.5
Morgan St Bears vs North Carolina Central Eagles,betrivers,spreads,Morgan St Bears,1.85,2.5
Morgan St Bears vs North Carolina Central Eagles,betrivers,spreads,North Carolina Central Eagles,1.93,-2.5
Morgan St Bears vs North Carolina Central Eagles,bovada,spreads,Morgan St Bears,1.95,2.0
Morgan St Bears vs North Carolina Central Eagles,bovada,spreads,North Carolina Central Eagles,1.87,-2.0
Alabama St Hornets vs Alcorn St Braves,betonlineag,spreads,Alabama St Hornets,1.91,-8.5
Alabama St Hornets vs Alcorn St Braves,betonlineag,spreads,Alcorn St Braves,1.91,8.5
Alabama St Hornets vs Alcorn St Braves,lowvig,spreads,Alabama St Hornets,1.94,-8.5
Alabama St Hornets vs Alcorn St Braves,lowvig,spreads,Alcorn St Braves,1.94,8.5
Alabama St Hornets vs Alcorn St Braves,draftkings,spreads,Alabama St Hornets,1.93,-8.5
Alabama St Hornets vs Alcorn St Braves,draftkings,spreads,Alcorn St Braves,1.89,8.5
Alabama St Hornets vs Alcorn St Braves,fanduel,spreads,Alabama St Hornets,1.83,-7.5
Alabama St Hornets vs Alcorn St Braves,fanduel,spreads,Alcorn St Braves,1.98,7.5
Alabama St Hornets vs Alcorn St Braves,betmgm,spreads,Alabama St Hornets,1.91,-8.5
Alabama St Hornets vs Alcorn St Braves,betmgm,spreads,Alcorn St Braves,1.91,8.5
Alabama St Hornets vs Alcorn St Braves,betrivers,spreads,Alabama St Hornets,1.83,-8.5
Alabama St Hornets vs Alcorn St Braves,betrivers,spreads,Alcorn St Braves,1.94,8.5
Alabama St Hornets vs Alcorn St Braves,bovada,spreads,Alabama St Hornets,1.95,-8.5
Alabama St Hornets vs Alcorn St Braves,bovada,spreads,Alcorn St Braves,1.87,8.5
American Eagles vs Navy Midshipmen,betonlineag,spreads,American Eagles,1.91,3.0
American Eagles vs Navy Midshipmen,betonlineag,spreads,Navy Midshipmen,1.91,-3.0
American Eagles vs Navy Midshipmen,lowvig,spreads,American Eagles,1.94,3.0
American Eagles vs Navy Midshipmen,lowvig,spreads,Navy Midshipmen,1.94,-3.0
American Eagles vs Navy Midshipmen,draftkings,spreads,American Eagles,1.93,2.5
American Eagles vs Navy Midshipmen,draftkings,spreads,Navy Midshipmen,1.89,-2.5
American Eagles vs Navy Midshipmen,fanduel,spreads,American Eagles,1.95,2.5
American Eagles vs Navy Midshipmen,fanduel,spreads,Navy Midshipmen,1.87,-2.5
American Eagles vs Navy Midshipmen,betmgm,spreads,American Eagles,1.95,2.5
American Eagles vs Navy Midshipmen,betmgm,spreads,Navy Midshipmen,1.87,-2.5
American Eagles vs Navy Midshipmen,betrivers,spreads,American Eagles,1.92,2.5
American Eagles vs Navy Midshipmen,betrivers,spreads,Navy Midshipmen,1.88,-2.5
American Eagles vs Navy Midshipmen,bovada,spreads,American Eagles,1.91,3.0
American Eagles vs Navy Midshipmen,bovada,spreads,Navy Midshipmen,1.91,-3.0
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,betonlineag,spreads,Arkansas-Pine Bluff Golden Lions,1.91,2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,betonlineag,spreads,Prairie View Panthers,1.91,-2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,lowvig,spreads,Arkansas-Pine Bluff Golden Lions,1.94,2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,lowvig,spreads,Prairie View Panthers,1.94,-2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,draftkings,spreads,Arkansas-Pine Bluff Golden Lions,1.87,3.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,draftkings,spreads,Prairie View Panthers,1.95,-3.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,fanduel,spreads,Arkansas-Pine Bluff Golden Lions,1.95,2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,fanduel,spreads,Prairie View Panthers,1.87,-2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,betrivers,spreads,Arkansas-Pine Bluff Golden Lions,1.91,2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,betrivers,spreads,Prairie View Panthers,1.87,-2.5
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,bovada,spreads,Arkansas-Pine Bluff Golden Lions,1.91,3.0
Prairie View Panthers vs Arkansas-Pine Bluff Golden Lions,bovada,spreads,Prairie View Panthers,1.91,-3.0
Bethune-Cookman Wildcats vs Southern Jaguars,betonlineag,spreads,Bethune-Cookman Wildcats,1.95,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betonlineag,spreads,Southern Jaguars,1.87,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,lowvig,spreads,Bethune-Cookman Wildcats,1.99,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,lowvig,spreads,Southern Jaguars,1.9,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,draftkings,spreads,Bethune-Cookman Wildcats,1.89,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,draftkings,spreads,Southern Jaguars,1.93,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,fanduel,spreads,Bethune-Cookman Wildcats,1.91,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,fanduel,spreads,Southern Jaguars,1.91,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betmgm,spreads,Bethune-Cookman Wildcats,1.91,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betmgm,spreads,Southern Jaguars,1.91,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betrivers,spreads,Bethune-Cookman Wildcats,1.91,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,betrivers,spreads,Southern Jaguars,1.89,2.5
Bethune-Cookman Wildcats vs Southern Jaguars,bovada,spreads,Bethune-Cookman Wildcats,1.91,-2.5
Bethune-Cookman Wildcats vs Southern Jaguars,bovada,spreads,Southern Jaguars,1.91,2.5
Coppin St Eagles vs South Carolina St Bulldogs,betonlineag,spreads,Coppin St Eagles,1.91,0.0
Coppin St Eagles vs South Carolina St Bulldogs,betonlineag,spreads,South Carolina St Bulldogs,1.91,0.0
Coppin St Eagles vs South Carolina St Bulldogs,lowvig,spreads,Coppin St Eagles,1.94,0.0
Coppin St Eagles vs South Carolina St Bulldogs,lowvig,spreads,South Carolina St Bulldogs,1.94,0.0
Coppin St Eagles vs South Carolina St Bulldogs,draftkings,spreads,Coppin St Eagles,1.89,1.5
Coppin St Eagles vs South Carolina St Bulldogs,draftkings,spreads,South Carolina St Bulldogs,1.93,-1.5
Coppin St Eagles vs South Carolina St Bulldogs,fanduel,spreads,Coppin St Eagles,1.82,1.5
Coppin St Eagles vs South Carolina St Bulldogs,fanduel,spreads,South Carolina St Bulldogs,2.0,-1.5
Coppin St Eagles vs South Carolina St Bulldogs,betmgm,spreads,Coppin St Eagles,2.05,-1.5
Coppin St Eagles vs South Carolina St Bulldogs,betmgm,spreads,South Carolina St Bulldogs,1.8,1.5
Coppin St Eagles vs South Carolina St Bulldogs,betrivers,spreads,Coppin St Eagles,1.85,1.5
Coppin St Eagles vs South Carolina St Bulldogs,betrivers,spreads,South Carolina St Bulldogs,1.94,-1.5
Coppin St Eagles vs South Carolina St Bulldogs,bovada,spreads,Coppin St Eagles,1.95,-1.0
Coppin St Eagles vs South Carolina St Bulldogs,bovada,spreads,South Carolina St Bulldogs,1.87,1.0
Howard Bison vs Delaware St Hornets,betonlineag,spreads,Delaware St Hornets,1.91,10.0
Howard Bison vs Delaware St Hornets,betonlineag,spreads,Howard Bison,1.91,-10.0
Howard Bison vs Delaware St Hornets,lowvig,spreads,Delaware St Hornets,1.94,10.0
Howard Bison vs Delaware St Hornets,lowvig,spreads,Howard Bison,1.94,-10.0
Howard Bison vs Delaware St Hornets,draftkings,spreads,Delaware St Hornets,2.02,9.5
Howard Bison vs Delaware St Hornets,draftkings,spreads,Howard Bison,1.82,-9.5
Howard Bison vs Delaware St Hornets,fanduel,spreads,Delaware St Hornets,1.94,9.5
Howard Bison vs Delaware St Hornets,fanduel,spreads,Howard Bison,1.88,-9.5
Howard Bison vs Delaware St Hornets,betmgm,spreads,Delaware St Hornets,1.95,9.5
Howard Bison vs Delaware St Hornets,betmgm,spreads,Howard Bison,1.87,-9.5
Howard Bison vs Delaware St Hornets,betrivers,spreads,Delaware St Hornets,1.93,9.5
Howard Bison vs Delaware St Hornets,betrivers,spreads,Howard Bison,1.87,-9.5
Howard Bison vs Delaware St Hornets,bovada,spreads,Delaware St Hornets,1.91,10.0
Howard Bison vs Delaware St Hornets,bovada,spreads,Howard Bison,1.91,-10.0
Florida A&M Rattlers vs Grambling St Tigers,betonlineag,spreads,Florida A&M Rattlers,1.98,-2.0
Florida A&M Rattlers vs Grambling St Tigers,betonlineag,spreads,Grambling St Tigers,1.85,2.0
Florida A&M Rattlers vs Grambling St Tigers,lowvig,spreads,Florida A&M Rattlers,2.02,-2.0
Florida A&M Rattlers vs Grambling St Tigers,lowvig,spreads,Grambling St Tigers,1.88,2.0
Florida A&M Rattlers vs Grambling St Tigers,draftkings,spreads,Florida A&M Rattlers,1.93,-2.5
Florida A&M Rattlers vs Grambling St Tigers,draftkings,spreads,Grambling St Tigers,1.89,2.5
Florida A&M Rattlers vs Grambling St Tigers,fanduel,spreads,Florida A&M Rattlers,1.94,-2.5
Florida A&M Rattlers vs Grambling St Tigers,fanduel,spreads,Grambling St Tigers,1.88,2.5
Florida A&M Rattlers vs Grambling St Tigers,betrivers,spreads,Florida A&M Rattlers,1.88,-2.5
Florida A&M Rattlers vs Grambling St Tigers,betrivers,spreads,Grambling St Tigers,1.91,2.5
Florida A&M Rattlers vs Grambling St Tigers,bovada,spreads,Florida A&M Rattlers,1.87,-2.0
Florida A&M Rattlers vs Grambling St Tigers,bovada,spreads,Grambling St Tigers,1.95,2.0
Lamar Cardinals vs Houston Christian Huskies,betonlineag,spreads,Houston Christian Huskies,1.91,7.5
Lamar Cardinals vs Houston Christian Huskies,betonlineag,spreads,Lamar Cardinals,1.91,-7.5
Lamar Cardinals vs Houston Christian Huskies,lowvig,spreads,Houston Christian Huskies,1.94,7.5
Lamar Cardinals vs Houston Christian Huskies,lowvig,spreads,Lamar Cardinals,1.94,-7.5
Lamar Cardinals vs Houston Christian Huskies,draftkings,spreads,Houston Christian Huskies,1.91,7.5
Lamar Cardinals vs Houston Christian Huskies,draftkings,spreads,Lamar Cardinals,1.91,-7.5
Lamar Cardinals vs Houston Christian Huskies,fanduel,spreads,Houston Christian Huskies,1.91,7.5
Lamar Cardinals vs Houston Christian Huskies,fanduel,spreads,Lamar Cardinals,1.91,-7.5
Lamar Cardinals vs Houston Christian Huskies,betmgm,spreads,Houston Christian Huskies,1.91,7.5
Lamar Cardinals vs Houston Christian Huskies,betmgm,spreads,Lamar Cardinals,1.91,-7.5
Lamar Cardinals vs Houston Christian Huskies,betrivers,spreads,Houston Christian Huskies,1.88,7.5
Lamar Cardinals vs Houston Christian Huskies,betrivers,spreads,Lamar Cardinals,1.89,-7.5
Lamar Cardinals vs Houston Christian Huskies,bovada,spreads,Houston Christian Huskies,1.91,7.5
Lamar Cardinals vs Houston Christian Huskies,bovada,spreads,Lamar Cardinals,1.91,-7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,betonlineag,spreads,Incarnate Word Cardinals,1.95,7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,betonlineag,spreads,Stephen F. Austin Lumberjacks,1.87,-7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,lowvig,spreads,Incarnate Word Cardinals,1.99,7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,lowvig,spreads,Stephen F. Austin Lumberjacks,1.9,-7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,draftkings,spreads,Incarnate Word Cardinals,1.98,7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,draftkings,spreads,Stephen F. Austin Lumberjacks,1.85,-7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,fanduel,spreads,Incarnate Word Cardinals,1.95,7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,fanduel,spreads,Stephen F. Austin Lumberjacks,1.87,-7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,betmgm,spreads,Incarnate Word Cardinals,1.98,7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,betmgm,spreads,Stephen F. Austin Lumberjacks,1.85,-7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,betrivers,spreads,Incarnate Word Cardinals,1.95,7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,betrivers,spreads,Stephen F. Austin Lumberjacks,1.85,-7.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,bovada,spreads,Incarnate Word Cardinals,1.91,8.5
Stephen F. Austin Lumberjacks vs Incarnate Word Cardinals,bovada,spreads,Stephen F. Austin Lumberjacks,1.91,-8.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,betonlineag,spreads,Maryland-Eastern Shore Hawks,1.91,6.0
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,betonlineag,spreads,Norfolk St Spartans,1.91,-6.0
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,lowvig,spreads,Maryland-Eastern Shore Hawks,1.94,6.0
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,lowvig,spreads,Norfolk St Spartans,1.94,-6.0
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,draftkings,spreads,Maryland-Eastern Shore Hawks,1.93,5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,draftkings,spreads,Norfolk St Spartans,1.89,-5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,fanduel,spreads,Maryland-Eastern Shore Hawks,1.91,5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,fanduel,spreads,Norfolk St Spartans,1.91,-5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,betmgm,spreads,Maryland-Eastern Shore Hawks,1.95,5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,betmgm,spreads,Norfolk St Spartans,1.87,-5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,betrivers,spreads,Maryland-Eastern Shore Hawks,1.88,5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,betrivers,spreads,Norfolk St Spartans,1.91,-5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,bovada,spreads,Maryland-Eastern Shore Hawks,1.91,5.5
Norfolk St Spartans vs Maryland-Eastern Shore Hawks,bovada,spreads,Norfolk St Spartans,1.91,-5.5
SE Louisiana Lions vs New Orleans Privateers,betonlineag,spreads,New Orleans Privateers,2.01,1.0
SE Louisiana Lions vs New Orleans Privateers,betonlineag,spreads,SE Louisiana Lions,1.83,-1.0
SE Louisiana Lions vs New Orleans Privateers,lowvig,spreads,New Orleans Privateers,2.05,1.0
SE Louisiana Lions vs New Orleans Privateers,lowvig,spreads,SE Louisiana Lions,1.85,-1.0
SE Louisiana Lions vs New Orleans Privateers,draftkings,spreads,New Orleans Privateers,1.93,1.5
SE Louisiana Lions vs New Orleans Privateers,draftkings,spreads,SE Louisiana Lions,1.89,-1.5
SE Louisiana Lions vs New Orleans Privateers,fanduel,spreads,New Orleans Privateers,1.83,1.5
SE Louisiana Lions vs New Orleans Privateers,fanduel,spreads,SE Louisiana Lions,1.98,-1.5
SE Louisiana Lions vs New Orleans Privateers,betrivers,spreads,New Orleans Privateers,1.85,2.5
SE Louisiana Lions vs New Orleans Privateers,betrivers,spreads,SE Louisiana Lions,1.94,-2.5
SE Louisiana Lions vs New Orleans Privateers,bovada,spreads,New Orleans Privateers,1.91,1.5
SE Louisiana Lions vs New Orleans Privateers,bovada,spreads,SE Louisiana Lions,1.91,-1.5
East Texas A&M Lions vs Texas A&M-CC Islanders,betonlineag,spreads,East Texas A&M Lions,1.91,5.5
East Texas A&M Lions vs Texas A&M-CC Islanders,betonlineag,spreads,Texas A&M-CC Islanders,1.91,-5.5
East Texas A&M Lions vs Texas A&M-CC Islanders,lowvig,spreads,East Texas A&M Lions,1.94,5.5
East Texas A&M Lions vs Texas A&M-CC Islanders,lowvig,spreads,Texas A&M-CC Islanders,1.94,-5.5
East Texas A&M Lions vs Texas A&M-CC Islanders,draftkings,spreads,East Texas A&M Lions,1.87,5.5
East Texas A&M Lions vs Texas A&M-CC Islanders,draftkings,spreads,Texas A&M-CC Islanders,1.95,-5.5
East Texas A&M Lions vs Texas A&M-CC Islanders,fanduel,spreads,East Texas A&M Lions,1.83,6.5
East Texas A&M Lions vs Texas A&M-CC Islanders,fanduel,spreads,Texas A&M-CC Islanders,1.98,-6.5
East Texas A&M Lions vs Texas A&M-CC Islanders,betrivers,spreads,East Texas A&M Lions,1.89,5.5
East Texas A&M Lions vs Texas A&M-CC Islanders,betrivers,spreads,Texas A&M-CC Islanders,1.89,-5.5
East Texas A&M Lions vs Texas A&M-CC Islanders,bovada,spreads,East Texas A&M Lions,1.91,5.0
East Texas A&M Lions vs Texas A&M-CC Islanders,bovada,spreads,Texas A&M-CC Islanders,1.91,-5.0
McNeese Cowboys vs Nicholls St Colonels,betonlineag,spreads,McNeese Cowboys,1.91,-13.5
McNeese Cowboys vs Nicholls St Colonels,betonlineag,spreads,Nicholls St Colonels,1.91,13.5
McNeese Cowboys vs Nicholls St Colonels,lowvig,spreads,McNeese Cowboys,1.94,-13.5
McNeese Cowboys vs Nicholls St Colonels,lowvig,spreads,Nicholls St Colonels,1.94,13.5
McNeese Cowboys vs Nicholls St Colonels,draftkings,spreads,McNeese Cowboys,1.87,-13.5
McNeese Cowboys vs Nicholls St Colonels,draftkings,spreads,Nicholls St Colonels,1.95,13.5
McNeese Cowboys vs Nicholls St Colonels,fanduel,spreads,McNeese Cowboys,1.91,-13.5
McNeese Cowboys vs Nicholls St Colonels,fanduel,spreads,Nicholls St Colonels,1.91,13.5
McNeese Cowboys vs Nicholls St Colonels,betmgm,spreads,McNeese Cowboys,1.87,-13.5
McNeese Cowboys vs Nicholls St Colonels,betmgm,spreads,Nicholls St Colonels,1.95,13.5
McNeese Cowboys vs Nicholls St Colonels,betrivers,spreads,McNeese Cowboys,1.88,-13.5
McNeese Cowboys vs Nicholls St Colonels,betrivers,spreads,Nicholls St Colonels,1.92,13.5
McNeese Cowboys vs Nicholls St Colonels,bovada,spreads,McNeese Cowboys,1.91,-13.5
McNeese Cowboys vs Nicholls St Colonels,bovada,spreads,Nicholls St Colonels,1.91,13.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betonlineag,spreads,Northwestern St Demons,1.87,3.0
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betonlineag,spreads,UT Rio Grande Valley Vaqueros,1.95,-3.0
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,lowvig,spreads,Northwestern St Demons,1.9,3.0
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,lowvig,spreads,UT Rio Grande Valley Vaqueros,1.99,-3.0
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,draftkings,spreads,Northwestern St Demons,1.98,2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,draftkings,spreads,UT Rio Grande Valley Vaqueros,1.85,-2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,fanduel,spreads,Northwestern St Demons,1.94,2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,fanduel,spreads,UT Rio Grande Valley Vaqueros,1.88,-2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betmgm,spreads,Northwestern St Demons,1.95,2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betmgm,spreads,UT Rio Grande Valley Vaqueros,1.87,-2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betrivers,spreads,Northwestern St Demons,1.93,2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,betrivers,spreads,UT Rio Grande Valley Vaqueros,1.87,-2.5
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,bovada,spreads,Northwestern St Demons,1.87,3.0
Northwestern St Demons vs UT Rio Grande Valley Vaqueros,bovada,spreads,UT Rio Grande Valley Vaqueros,1.95,-3.0
Alabama A&M Bulldogs vs Jackson St Tigers,betonlineag,spreads,Alabama A&M Bulldogs,1.93,-5.5
Alabama A&M Bulldogs vs Jackson St Tigers,betonlineag,spreads,Jackson St Tigers,1.88,5.5
Alabama A&M Bulldogs vs Jackson St Tigers,lowvig,spreads,Alabama A&M Bulldogs,1.97,-5.5
Alabama A&M Bulldogs vs Jackson St Tigers,lowvig,spreads,Jackson St Tigers,1.92,5.5
Alabama A&M Bulldogs vs Jackson St Tigers,draftkings,spreads,Alabama A&M Bulldogs,1.95,-5.5
Alabama A&M Bulldogs vs Jackson St Tigers,draftkings,spreads,Jackson St Tigers,1.87,5.5
Alabama A&M Bulldogs vs Jackson St Tigers,fanduel,spreads,Alabama A&M Bulldogs,1.91,-5.5
Alabama A&M Bulldogs vs Jackson St Tigers,fanduel,spreads,Jackson St Tigers,1.91,5.5
Alabama A&M Bulldogs vs Jackson St Tigers,betrivers,spreads,Alabama A&M Bulldogs,1.96,-6.5
Alabama A&M Bulldogs vs Jackson St Tigers,betrivers,spreads,Jackson St Tigers,1.83,6.5
Alabama A&M Bulldogs vs Jackson St Tigers,bovada,spreads,Alabama A&M Bulldogs,1.87,-5.0
Alabama A&M Bulldogs vs Jackson St Tigers,bovada,spreads,Jackson St Tigers,1.95,5.0
Texas Southern Tigers vs Miss Valley St Delta Devils,betonlineag,spreads,Miss Valley St Delta Devils,1.91,13.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betonlineag,spreads,Texas Southern Tigers,1.91,-13.5
Texas Southern Tigers vs Miss Valley St Delta Devils,lowvig,spreads,Miss Valley St Delta Devils,1.94,13.5
Texas Southern Tigers vs Miss Valley St Delta Devils,lowvig,spreads,Texas Southern Tigers,1.94,-13.5
Texas Southern Tigers vs Miss Valley St Delta Devils,draftkings,spreads,Miss Valley St Delta Devils,1.83,14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,draftkings,spreads,Texas Southern Tigers,2.0,-14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,fanduel,spreads,Miss Valley St Delta Devils,1.87,14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,fanduel,spreads,Texas Southern Tigers,1.95,-14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betmgm,spreads,Miss Valley St Delta Devils,1.85,14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betmgm,spreads,Texas Southern Tigers,1.98,-14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betrivers,spreads,Miss Valley St Delta Devils,1.92,14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,betrivers,spreads,Texas Southern Tigers,1.88,-14.5
Texas Southern Tigers vs Miss Valley St Delta Devils,bovada,spreads,Miss Valley St Delta Devils,1.91,14.0
Texas Southern Tigers vs Miss Valley St Delta Devils,bovada,spreads,Texas Southern Tigers,1.91,-14.0
